id,date,brand,url,views,likes,comments,saves,shares,duration,engagement_rate_total,engagement_rate_clean,efficiency_score_clean,likes_rate,shares_rate,saves_rate,hook_1,hook_2,hook_evidence,hook_confidence,vibe_check,vibe_evidence,vibe_confidence,humor_intent,text_density,text_evidence,gender,humanity_level,protagonist_type,character_name,influencer_score,baby_presence,animal_presence,production_style,camera_dynamics,brand_colors,bg_colors,brand_lore_visual,brand_lore_visual_evidence,brand_lore_text,brand_lore_text_evidence,video_category,product_visible_early,cta_visible,main_topic,sentiment_score,community_reaction,music
7587767013930536225,20251225,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7587767013930536225,4497,49,26,2.0,3,10,1.78,1.2,12.01,01.09,0.07,0.04,text_direct,punch,Text: 'Cuando me hablan antes de que haya bebido de mi taza de Minions'. The text is visible from the first frame.,1.0,lifestyle,"The video has a clean, intentional aesthetic with a person featured prominently. The setting is suggestive of a McDonald's restaurant with a specific marketing campaign tie-in to the Minions movie. The lighting and composition are well-balanced, indicating a studio-like approach to the content.",0.8,yes,medium,Text visible in all frames.,female,face,generic,none,0.0,0,0,false_ugc,static,[],"[""#F24630"", ""#49A743""]",0,none,0,none,promo,1,0,Promoción taza Minion con menú,0.0,indiferente,sonido original
7552909362742725890,20250922,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7552909362742725890,422300,432,33,44.0,32,30,0.13,0.12,1.2,0.1,0.01,0.01,text_direct,flat,Yellow text 'Nuestro becario va a contaros algo y MÁS OS VALE decirle cosas bonitas' is visible. Woman with arms akimbo is looking at the camera. The rhythm is flat.,1.0,lifestyle,"woman is dressed in white, nice background, clean appearance",0.7,yes,high,overlay text covers a large portion of the screen,female,face,generic,none,0.0,0,0,false_ugc,static,[],"[""#967450"", ""#F0E6D2""]",0,none,0,none,branding,0,0,Elaboración de carteles mientras otros comían,0.3,indiferente,Forgotten Melody
7579680187206470934,20251203,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7579680187206470934,4819,80,11,10.0,3,10,2.16,1.93,19.3,1.66,0.06,0.21,text_direct,reveal,The text 'Con el Mystery King no sabes qué burger tocará...' is visible. Burgers appear and change rapidly on the screen.,1.0,chaotic,"Rapid burger changes, unexpected combinations.",0.7,yes,medium,Text is present but not overwhelming.,female,hands,influencer,none,0.7,0,0,false_ugc,static,"[""#FF0000""]","[""#DEB887"", ""#000000""]",0,none,1,Brujillo Juan,promo,1,0,Menú Mystery King by Brujillo Juan,0.7,entusiasta,sonido original
7561072840041155862,20251014,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7561072840041155862,914100,783,55,56.0,114,20,0.11,0.1,01.04,0.09,0.01,0.01,text_direct,punch,Text 'El ASMR más crujiente que vas a escuchar hoy' is prominently visible on all frames.,1.0,sensory,Close up of food with focus on texture and visual appeal. Aims to stimulate senses.,0.8,no,medium,Text is present but does not cover a large portion of the screen.,female,body,none,none,0.0,0,0,false_ugc,static,"[""#FF7000""]","[""#526F4E"", ""#D3D3D3""]",0,none,0,none,branding,1,0,Nuevo producto Krispper,0.4,indiferente,sonido original
7550704227803204886,20250916,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7550704227803204886,969200,780,101,101.0,167,14,0.12,0.11,01.08,0.08,0.02,0.01,text_direct,flat,The text 'Dicen que los perros huelen el miedo...' is prominently displayed. The rhythm feels neutral and flat.,1.0,generic,There are no specific elements that suggest a particular style. The scene is a dog being walked.,0.7,no,low,There is only one line of text on screen.,none,none,none,none,0.0,0,1,ugc,static,[],"[""#A9A197"", ""#F0EAD6""]",0,none,0,none,promo,0,0,Scooby-Doo King Jr. juguetes promocionales,0.0,indiferente,sonido original
7567055958984101142,20251030,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7567055958984101142,14100,301,26,30.0,23,22,2.7,2.51,25.11,2.13,0.16,0.21,text_direct,punch,No hay texto prominente ni acción dominante visible en los primeros frames. Tampoco hay un impacto visual fuerte.,0.0,lifestyle,"The first frames show an employee of Burger King, the following shots show a man in everyday clothes, these elements resemble a commerical.",0.7,yes,low,"Hay texto en el logo de Burger King, pero no es el foco principal.",male,face,employee,none,0.0,0,0,false_ugc,static,"[""#E47325"", ""#A36132""]","[""#FFFFFF"", ""#D3D3D3""]",0,none,0,none,branding,1,0,Grand Whiskey BBQ y Goat Bombs combo,0.7,entusiasta,Cowboy Western Full Version
7578927484696071446,20251201,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7578927484696071446,2600000,457,23,49.0,55,29,0.02,0.02,0.22,0.02,0.0,0.0,text_direct,flat,"The text ""Cuando no afinas, pero vienes con tu espíritu navideño al Autoking"" is visible. The pace is flat.",1.0,lifestyle,"The phrase 'espíritu navideño' contrasts oddly with the setting of the Autoking, creating a slightly absurd or humorous tone.",0.7,yes,medium,Text overlay on the scene.,none,none,none,none,0.0,0,0,studio,static,"[""#FF6600"", ""#FFFFFF""]","[""#FFFFFF"", ""#BEBEBE"", ""#D3D3D3""]",0,none,0,none,branding,0,0,Promoción navideña patatas a un euro,0.5,indiferente,sonido original
7584411289674419489,20251216,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7584411289674419489,34700000,6385,251,911.0,784,21,0.02,0.02,0.23,0.02,0.0,0.0,action,punch,Woman holding a phone in selfie mode. The phone is visible. The camera is close up to the woman's face.,0.8,lifestyle,This feels like UGC due to the selfie style but is a good quality video production. Camera angle and subject.,0.0,no,low,"Minimal text in the background, not prominent.",female,face,generic,none,0.0,0,0,studio,static,[],"[""#D8C19B"", ""#4A3748""]",0,none,0,none,branding,0,0,Nuevas CM y Stacker Huevo Burger King,0.0,indiferente,sonido original
7579960388553329942,20251204,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7579960388553329942,1500000,303,16,32.0,18,25,0.02,0.02,0.24,0.02,0.0,0.0,text_direct,flat,"Text overlay says ""Ponme una playlist navideña"" (Play me a Christmas playlist). There is no clear build-up or reveal of anything significant. The scene appears to be static.",1.0,lifestyle,"Appears to be a casual video taken in a car, with natural lighting and camera shake.",0.9,no,low,Single line of text overlay.,female,body,generic,none,0.0,0,0,false_ugc,static,[],"[""#FFFFFF"", ""#434343""]",0,none,0,none,promo,0,0,Promoción navideña: patatas a un euro,0.6,entusiasta,sonido original
7592580916548128022,20260107,burgerking_es,https://www.tiktok.com/@burgerking_es/video/7592580916548128022,23600000,5784,251,781.0,460,9,0.03,0.03,0.3,0.02,0.0,0.0,text_direct,flat,The first frames contain the text 'Nada mola más que poder hacer magia con tu King Ahorro'. The people shown are standing with trays.,1.0,lifestyle,"The scene has attractive actors, studio lighting, and is designed to simulate a real-world scenario.",0.9,no,medium,Text is visible on the bottom of the frame.,both,body,generic,none,0.0,0,0,studio,static,"[""#E73A03"", ""#F2CE0A""]","[""#D1C18D""]",0,none,0,none,promo,0,0,Rap sobre ahorro al final de mes,0.7,entusiasta,sonido original
